agency_code,agency_name,agency_address,agency_contact_peple,agency_phone,agency_certify,agency_gov,agency_doc,agency_starttime,agency_boss,agency_asset,agency_structrue,agency_accountor,agency_child,agency_partner,agency_cpa,agency_stuff,agency_totalcpa,agency_totalstuff
11010205,中兴财光华会计师事务所（特殊普通合伙）,北京市西城区阜成门外大街2号22层A24,王凤岐,010-52805600,11010205,北京市财政局,京财会许可[2014]0031号,0015-03-28,姚庚春,2370.0,特殊合伙,姚庚春,36,113,171,521,965,1729
11010203,北京东岭会计师事务所（普通合伙）,北京市西城区三里河路6号院2号楼5层,王紫川,13901168815,11010203,北京财政局/厅,京财会许可[2014]0018号,2014-02-28,孙广军,0.0,普通合伙,孙广军,0,0,2,0,2,0
11010201,北京众联会计师事务所（普通合伙）,北京市房山区康泽路3号院9-4-102室,周莹,010-88515358,11010201,北京财政局/厅,京财会许可[2014]0011号,2014-02-11,周莹,0.0,普通合伙,周莹,0,0,2,0,2,0
11010200,北京信丰悦诚会计师事务所（普通合伙）,北京朝阳区朝阳路8号11层1单元1120,宋蕾,13488887425,11010200,北京财政局/厅,京财会许可[2014]0014号,2014-02-11,周勇,0.0,普通合伙,周勇,0,0,5,0,5,0
11010202,北京上善若水会计师事务所（普通合伙）,霞光里15号楼2层212,才雁,010-56035666,11010202,北京财政局/厅,京财会许可【2014】0012号,2014-02-11,周芳,0.0,普通合伙,周芳,0,0,3,0,3,0
11010198,北京朗曜会计师事务所（普通合伙）,北京市朝阳区光华路4号院3号楼508室,任卉,010-85869132,11010198,北京财政局/厅,京财会许可[2014]0010号,2014-02-11,江淑珍,0.0,普通合伙,江淑珍,0,0,3,0,3,0
11010199,北京浩清会计师事务所（普通合伙）,北京市门头沟区石龙经济开发区永安路20号3号楼B1-6538室,徐凤珍,010-69866236,11010199,北京财政局/厅,京财会许可[2014]0015号,2014-02-11,徐凤珍,0.0,普通合伙,徐凤珍,0,2,4,0,4,0
11010197,北京钧盛会计师事务所（普通合伙）,北京市朝阳区建国路15号院甲1号北岸1292三间房创意生活园区4-315,吴鸿雁,13933959723,11010197,北京财政局/厅,京财会许可[2014]0013号,2014-02-11,吴鸿雁,0.0,普通合伙,吴鸿雁,0,0,7,0,7,0
11010225,北京华励诚嘉会计师事务所（普通合伙）,北京市石景山区古城大街(特钢公司厂内)首特钢创业大厦B座八层802室,潘颖,18501285252,11010225,北京财政局/厅,京财会许可[2015]0024号,2015-04-30,鲍丽华,0.0,普通合伙,鲍丽华,0,0,2,0,2,0
11010196,北京中泓达会计师事务所（普通合伙）,北京市大兴区滨河街27号7层708,王宏军,13120462878,11010196,北京财政局/厅,京财会许可[2013]0100号,2013-12-31,王宏军,0.0,普通合伙,王宏军,0,2,2,0,2,0
11010224,北京国金会计师事务所（普通合伙）,北京市海淀区曙光花园中路11号北京农科大厦A座11层1122房间,李红杰,010-83669759,11010224,北京财政局/厅,京财会许可[2015]0020号,2015-04-30,李红杰,0.0,普通合伙,李红杰,0,0,3,0,3,0
11010223,北京中珊会计师事务所（普通合伙）,北京市东城区王府井大街99号1号楼A802号-B,耿维平,010-65241361,11010223,北京财政局/厅,京财会许可[2015]0021号,2015-04-30,夏磊,0.0,普通合伙,夏磊,0,2,3,0,3,0
11010222,北京仲益会计师事务所（普通合伙）,北京市朝阳区双营路11号院4号楼7层3单元802,王跃华,01084369514,11010222,北京财政局/厅,京财会许可[2015]0023号,2015-04-30,王跃华,0.0,普通合伙,王跃华,0,0,3,0,3,0
11010219,北京舒慧财明会计师事务所（普通合伙）,北京市东城区长青园7号元隆经贸大厦308,李妮,18611684609,11010219,北京财政局/厅,京财会许可[2015]0013号,2015-04-01,果煜丹,0.0,普通合伙,果煜丹,0,2,8,21,8,21
11010218,北京政华会计师事务所（普通合伙）,北京市朝阳区五里桥二街2号院2号楼4层0423,欧阳爱刚,010-57576268,11010218,北京财政局/厅,京财会许可[2015]0014号,2015-04-01,欧阳爱刚,0.0,普通合伙,欧阳爱刚,0,0,2,0,2,0
11010220,北京可信必兴会计师事务所（普通合伙）,北京市东城区南竹杆胡同2号1幢51227,陈宁,010-82625793-822,11010220,北京财政局/厅,京财会许可[2015]0019号,2015-04-30,陆桂香,0.0,普通合伙,陆桂香,0,0,5,0,5,0
11010217,北京鑫蕊会计师事务所（普通合伙）,北京市海淀区万寿路西街博雅大酒店四层019室,郭方,010-51649021,11010217,北京财政局/厅,京财会许可[2015]0012号,2015-04-01,郭方,0.0,普通合伙,郭方,0,0,2,0,2,0
11010214,北京浩仁怡和会计师事务所（普通合伙）,北京市朝阳区五里桥二街1号院8号楼12层1223,赵艳琤,010-65572258,11010214,北京财政局/厅,京财会许可[2014]0097号,2014-12-01,赵艳琤,0.0,普通合伙,赵艳琤,0,0,2,0,2,0
11010212,北京长和会计师事务所（普通合伙）,北京市海淀区中关村南大街48号7幢B407室,潘桂岗,010-52496728,11010212,北京财政局/厅,京财会许可[2014]0099号,2017-10-10,潘桂岗,0.0,普通合伙,潘桂岗,0,0,2,0,2,0
11010211,北京首律会计师事务所（普通合伙）,北京市昌平区沙河镇松兰堡村西A座711,游勇,13701074162,11010211,北京财政局/厅,京财会许可[2014]0080号,2014-09-30,胡建华,0.0,普通合伙,胡建华,0,0,3,0,3,0
11010237,北京众明合华会计师事务所（普通合伙）,北京市石景山区石景山路甲18号院2号楼10层1107,王新,13846229994,11010237,北京财政局/厅,京财会许可[2015]0078号,2015-11-17,齐琳娜,0.0,普通合伙,齐琳娜,0,0,2,0,2,0
11010235,北京瑞立诺会计师事务所（普通合伙）,北京市顺义区林河北大街21号院鹭峯国际1号楼2单元1202,徐琳,010-56031290,11010235,北京财政局/厅,京财会许可[2015]0074号,2015-10-21,徐琳,0.0,普通合伙,徐琳,0,0,2,0,2,0
11010234,北京博圆会计师事务所（普通合伙）,北京市东城区中剪子巷17号134室,王溦,18901188051,11010234,北京财政局/厅,京财会许可[2015]0075号,2015-10-21,王溦,0.0,普通合伙,王溦,0,0,9,0,9,0
11010233,北京英航会计师事务所（普通合伙）,北京市海淀区长智路5号财智会馆228,王秀英,010-88136610,11010233,北京财政局/厅,京财会许可[2015]0067号,2015-09-23,李慧瑛,0.0,普通合伙,李慧瑛,0,0,4,0,4,0
11010232,北京合诚会计师事务所（普通合伙）,北京市朝阳区朝阳北路237号楼5层601,杨清芳,010-85715074,11010232,北京财政局/厅,京财会许可[2015]0055号,2015-08-25,金华鹏,0.0,普通合伙,金华鹏,0,0,4,0,4,0
11010231,北京晟灿会计师事务所（普通合伙）,北京市海淀区西三环北路72号院世纪经贸大厦B座2600,丛朝日,010-57737926,11010231,北京财政局/厅,京财会许可[2015]0056号,2015-08-25,戈敏英,0.0,普通合伙,戈敏英,0,0,4,0,4,0
11010216,北京欣昊会计师事务所（普通合伙）,北京市顺义区南法信镇金穗路2号院7号楼7层711室,陈明路,010-53269364,11010216,北京财政局/厅,京财会许可[2015]0011号,2015-03-20,陈明路,0.0,普通合伙,陈明路,0,0,4,0,4,0
11010230,北京明鸿会计师事务所（普通合伙）,北京市海淀区北小马厂6号华天大厦1401,张秋苹,010-63393188,11010230,北京财政局/厅,京财会许可[2015]0043号,2015-07-10,张开伦,0.0,普通合伙,张开伦,0,0,5,0,5,0
11010236,北京春雷精谉会计师事务所（普通合伙）,北京市房山区良乡中路159号院12号楼彩虹大厦二层东,张泽生,010-53040707,11010236,北京财政局/厅,京财会许可[2015]0077号,2015-11-10,张泽生,0.0,普通合伙,张泽生,0,0,7,0,7,0
11010226,北京博砚会计师事务所（普通合伙）,北京市西城区裕民路18号311室,孙雁,010-82250197,11010226,北京财政局/厅,京财会许可[2015]0027号,2015-05-06,王惠民,0.0,普通合伙,王惠民,0,0,3,0,3,0
11010215,北京致信汇安会计师事务所（普通合伙）,北京市海淀区天秀路10号中国农大国际创业园2号楼4020室,李春阳,010-68266579,11010215,北京财政局/厅,京财会许可[2014]0098号,2014-12-01,李春阳,0.0,普通合伙,李春阳,0,0,2,0,2,0
11010238,北京中诺源会计师事务所（普通合伙）,"北京市海淀区建材城东二里15,16号楼1幢1层1009室",黄志舒,010-69733361,11010238,北京财政局/厅,京财会许可[2015]0086号,2015-11-24,孙亚涛,0.0,普通合伙,孙亚涛,0,0,11,0,11,0
11010239,北京中思越会计师事务所（普通合伙）,北京市海淀区农大南路1号院2号楼7层办公B-709,王树成,13366322817,11010239,北京财政局/厅,京财会许可[2015]0085号,2015-11-24,胡桂兰,0.0,普通合伙,胡桂兰,0,0,2,0,2,0
11010213,北京亦城人合会计师事务所（普通合伙）,北京市北京经济技术开发区同济中路甲7号18幢A412,姜长青,13488899896,11010213,北京财政局/厅,京财会许可[2014]0101号,2014-12-03,姜长青,0.0,普通合伙,姜长青,0,0,2,0,2,0
11010259,北京锦钰会计师事务所（普通合伙）,北京市海淀区大柳树富海中心2号楼4层408-035室,李宗瑛,010-87775400,11010259,北京财政局/厅,京财会许可[2016]0058号,2017-09-13,李兰,0.0,普通合伙,李兰,0,0,3,0,3,0
11010257,北京铭禹会计师事务所（普通合伙）,北京市丰台区科学城星火路11号2幢（B座）三层508室,杜秀君,010-63738642,11010257,北京财政局/厅,京财会许可[2016]0048号,2016-07-28,杜秀君,0.0,普通合伙,杜秀君,0,0,2,0,2,0
11010228,北京信耀会计师事务所（普通合伙）,北京市海淀区宝盛里19号楼612,李晓硕,010-82813479,11010228,北京财政局/厅,京财会许可[2015]0042号,2015-07-10,刘兴宇,0.0,普通合伙,刘兴宇,0,0,2,0,2,0
11010252,北京宜和会计师事务所（普通合伙）,北京市朝阳区左家庄15号4号楼2层213室,季媛,13811409496,11010252,北京财政局/厅,京财会许可[2016]0035号,2016-06-29,李娜,0.0,普通合伙,李娜,0,2,4,0,4,0
11010240,北京颂石会计师事务所（普通合伙）,海淀区彩和坊10号1号楼12层1208,赵锐娜,13552826935,11010240,北京财政局/厅,京财会许可[2015]0092号,2015-12-01,石玉洁,0.0,普通合伙,石玉洁,0,0,3,0,3,0
11010251,北京中轩拓达会计师事务所（普通合伙）,北京市丰台区郭公庄中街20号院3号楼5层506,夏芳,13811183404,11010251,北京财政局/厅,京财会许可[2016]0028号,2016-05-30,靳洪庆,0.0,普通合伙,靳洪庆,0,0,2,0,2,0
11010256,北京长圣会计师事务所（普通合伙）,北京市丰台区万丰路300号2号楼B做405室,管新华,15101513537,11010256,北京财政局/厅,京财会许可[2016]0042号,2016-07-18,原艳丽,0.0,普通合伙,原艳丽,0,0,2,0,2,0
11010253,北京天玺源会计师事务所（普通合伙）,北京市大兴区黄村镇清澄名苑北区27号楼11层2-1202,魏兰花,13910970089,11010253,北京财政局/厅,京财会许可[2016]0036号,2016-06-29,柳云霞,0.0,普通合伙,柳云霞,0,2,2,6,2,6
11010249,北京中会诚会计师事务所（普通合伙）,北京市朝阳区朝阳北路36号院2号楼1层1单元104,陈敏,010-57411918,11010249,北京财政局/厅,京财会许可[2016]0023号,2016-04-25,刘红伟,0.0,普通合伙,刘红伟,0,0,4,0,4,0
11010255,北京德岳信会计师事务所（普通合伙）,北京市朝阳区西大望路甲12号3号楼五层东3501,张然,010-67360728,11010255,北京财政局/厅,京财会许可[2016]0043号,2016-07-18,张然,0.0,普通合伙,张然,0,0,2,0,2,0
11010250,北京会合天下会计师事务所（普通合伙）,丰台区五岳大厦A座6层006室,居之昉,010-57295775,11010250,北京财政局/厅,京财会许可[2016]0029号,2016-05-23,王佳,0.0,普通合伙,王佳,0,0,2,0,2,0
11010254,北京千科会计师事务所（普通合伙）,北京市朝阳区八里庄西里100号1号楼16层东区1603号,严军建,13910882396,11010254,北京财政局/厅,京财会许可[2016]0038号,2016-06-29,翟国华,0.0,普通合伙,翟国华,0,0,5,0,5,0
11010247,北京华乘瑞会计师事务所（普通合伙）,北京市丰台区南四环西路186号汉威国际广场一区西一塔3层25、26室,王丽娟,010-85610697,11010247,北京财政局/厅,京财会许可[2016]0019号,2016-04-08,祁华,0.0,普通合伙,祁华,0,0,4,4,4,4
11010244,北京德瑞会计师事务所（普通合伙）,北京市东城区广和门外南巷37号,王以占,010-67701380,11010244,北京财政局/厅,京财会许可[2016]0001号,2016-01-06,鲍军颍,0.0,普通合伙,鲍军颍,0,0,2,0,2,0
11010246,北京义通会计师事务所（普通合伙）,北京市通州区新华西街60号院2号楼2516,田薇,010-60561671,11010246,北京财政局/厅,京财会许可[2016]0006号,2016-01-29,刘盛芬,0.0,普通合伙,刘盛芬,0,0,4,0,4,0
11010286,北京明朴会计师事务所（普通合伙）,北京市海淀区车公庄西路甲19号华通大厦A座7层730号,宋金莉,010-86462687/13910637791,11010286,北京财政局/厅,京财会许可[2018]0006号,2018-02-12,汪建忠,0.0,普通合伙,汪建忠,0,0,3,0,3,0
11010289,北京广言会计师事务所（普通合伙）,北京市丰台区丰体北路5号国丰大夏609,王根源,010-63856115,11010289,北京财政局/厅,京财会许可【2018】0011号,2018-08-29,牛智敏,0.0,普通合伙,牛智敏,0,0,2,0,2,0
11010245,北京跃尚会计师事务所（普通合伙）,北京市西城区广安门外大街305号8区9号楼0725室,张瑞敏,010-52881874,11010245,北京财政局/厅,京财会许可[2016]0005号,2016-01-29,张瑞敏,0.0,普通合伙,张瑞敏,0,0,4,0,4,0
11010248,北京和衍会计师事务所（普通合伙）,北京市海淀区阜成路115号北京印象1号楼1门621,刘淑玲,010-88144521,11010248,北京财政局/厅,京财会许可[2016]0024号,1970-01-01,刘淑玲,0.0,普通合伙,刘淑玲,0,0,2,0,2,0
11010290,北京永畅会计师事务所（普通合伙）,北京市通州区砖厂北里140号楼4层3405,王平原,010-59792424,11010290,北京财政局/厅,京财会许可【2018】0010号,2018-08-29,赵向宁,0.0,普通合伙,赵向宁,0,0,2,0,2,0
11010285,北京华钧会计师事务所（普通合伙）,北京市大兴区兴华大街三段65号院2号楼6层614,王文龙,13810219137,11010285,北京财政局/厅,京财会许可[2018]0004号,2018-01-08,王文龙,0.0,普通合伙,王文龙,0,0,2,0,2,0
11010287,北京中瀚财会计师事务所（普通合伙）,北京市朝阳区成寿寺路134号院4号楼10层1103室,郭美琳,010-84942971,11010287,北京财政局/厅,京财会许可[2018]0008号,2018-05-23,白希楼,0.0,普通合伙,白希楼,0,0,4,0,4,0
11010283,北京政元会计师事务所（普通合伙）,北京市海淀区恩济西园10号楼西三门3306室,郭凌,010-13611065207,11010283,北京财政局/厅,京财会许可[2018]0007号,2018-02-12,郭凌,0.0,普通合伙,郭凌,0,0,3,1,3,1
11010284,北京仁同会计师事务所（普通合伙）,北京市海淀区上地三街金融科贸大厦814室,史建国,62966589,11010284,北京财政局/厅,京财会许可[2018]0003号,2018-01-08,司朋飞,0.0,普通合伙,司朋飞,0,0,2,0,2,0
11010278,北京志城会计师事务所（普通合伙）,北京市东城区永定门外大街86号2号楼一层115室,王春娜,15701235195,11010278,北京财政局/厅,京财会许可【2017】0044号,2017-09-04,李瑶,0.0,普通合伙,李瑶,0,2,3,3,3,3
11010277,北京畅邦会计师事务所（普通合伙）,北京市房山区良乡地区太平庄东里42号楼4层408,李春丽,010-61300900,11010277,北京财政局/厅,京财会许可【2017】0045号,2017-09-04,刘秀银,0.0,普通合伙,刘秀银,0,0,4,0,4,0
11010282,北京中众晟安会计师事务所（普通合伙）,北京市丰台区大成路6号1号楼20层2005,侯利军,010-88255680,11010282,北京财政局/厅,京财会许可[2018]0005号,2018-01-12,余小平,0.0,普通合伙,余小平,0,0,2,0,2,0
11010276,北京蒙鑫会计师事务所（普通合伙）,北京市北京经济技术开发区景园北街2号57幢17层1701号03室,吕淳,15248178194,11010276,北京财政局/厅,京财会许可【2017】0046,2017-09-04,张利娟,0.0,普通合伙,张利娟,0,0,4,0,4,0
11010279,北京中鸿和达会计师事务所（普通合伙）,北京市朝阳区建国门外大街17号28号楼209室,熊永华,010-52083276,11010279,北京财政局/厅,京财会许可【2017】0049号,2017-10-10,房丽,0.0,普通合伙,房丽,0,0,2,0,2,0
11010275,北京和智会计师事务所（普通合伙）,北京市北京经济技术开发区荣京东街3号1幢9层2单元716,苑少敏,87512562,11010275,北京财政局/厅,京财会许可【2017】0032号,2017-07-21,王欣,0.0,普通合伙,王欣,0,0,2,0,2,0
11010281,北京首诚会计师事务所（普通合伙）,北京市朝阳区清河营东路2号院2号楼18层1806,侯春娟,010-84912391,11010281,北京财政局/厅,京财会许可[2018]0001号,2018-01-08,侯春娟,0.0,普通合伙,侯春娟,0,0,2,0,2,0
11010261,北京中研财会计师事务所（普通合伙）,北京市石景山区苹果园南路69号院1号楼10层1020,王伟莎,010-51870175,11010261,北京财政局/厅,京财会许可[2016]0084号,2015-10-13,赵艳丽,0.0,普通合伙,赵艳丽,0,0,3,0,3,0
11010263,北京中程信天会计师事务所（普通合伙）,北京市朝阳区大洋路333号2层B203室,王淑静,15810799839,11010263,北京财政局/厅,京财会许可[2016]0090号,2016-11-04,程立元,0.0,普通合伙,程立元,0,0,2,0,2,0
11010262,北京广恒会计师事务所（普通合伙）,北京市朝阳区左家庄15号3号509房,梁姗姗,010-68475372,11010262,北京财政局/厅,京财会许可[2016]0086号,2016-10-19,刘海燕,0.0,普通合伙,刘海燕,0,0,2,0,2,0
11010260,北京晟永会计师事务所（普通合伙）,北京市东城区朝阳门南小街2号楼5层602,李嘉莹,13126633021,11010260,北京财政局/厅,京财会许可[2016]0083号,2016-10-13,杨小娟,0.0,普通合伙,杨小娟,0,0,3,0,3,0
11010304,北京合普朗润会计师事务所（普通合伙）,北京市西城区感化胡同3号院5号楼四层411室,谢韬,010-65956890,11010304,北京财政局/厅,京财会许可【2018】0026号,2018-11-28,谢韬,0.0,普通合伙,谢韬,0,0,2,0,2,0
11010305,北京稔恒会计师事务所（普通合伙）,北京市朝阳区建国门外大街22号（赛特大厦）1幢21层2104室,丁燕,010-63496982,11010305,北京财政局/厅,京财会许可【2018】0028,2018-12-18,杨军,0.0,普通合伙,杨军,0,0,3,0,3,0
11010303,北京华则会计师事务所（普通合伙）,北京市朝阳区北苑东路19号院5号楼23层2303,刘根吉,010-83623619,11010303,北京财政局/厅,京财会许可【2018】0027号,2018-11-28,刘根吉,0.0,普通合伙,刘根吉,0,0,2,0,2,0
11010300,北京国昊锋飞会计师事务所（普通合伙）,北京市平谷区迎宾街1号院26幢1层8-11,吴野,010-61997860,11010300,北京财政局/厅,京财会许可【2018】0019号,2018-11-14,吴野,0.0,普通合伙,吴野,0,0,2,0,2,0
11010297,北京锋融会计师事务所（普通合伙）,北京市海淀区车公庄西路甲19号华通大厦A座6层611号,陈淑清,010-62526877,11010297,北京财政局/厅,京财会许可【2018】0023号,2018-11-14,陈淑清,0.0,普通合伙,陈淑清,0,0,2,0,2,0
11010301,北京企动引擎会计师事务所（普通合伙）,北京市海淀区万柳中路11号4层4-218室,李国臣,010-62691961,11010301,北京财政局/厅,京财会许可【2018】0024号,2018-11-14,李国臣,0.0,普通合伙,李国臣,0,0,2,0,2,0
11010291,北京德豪会计师事务所（普通合伙）,北京市通州区永顺南街8号新光大中心8A1222室,王文静,60559985,11010291,北京财政局/厅,京财会许可（2018）0013号,2018-09-20,陈丽芳,0.0,普通合伙,陈丽芳,0,2,5,0,5,0
12010048,天津开实会计师事务所（普通合伙）,天津市南开区长江道融侨中心1507,曹路,18622195856,12010048,天津财政局/厅,津财法【2018】10号,2018-05-04,曹路,5.0,普通合伙,曹路,0,0,4,0,4,0
12010047,天津审诚会计师事务所有限责任公司,天津市河西区南京路35号亚信大厦,张称,23157781,12010047,天津财政局/厅,津财法（2018）1号,2019-07-21,甄福生,100.0,有限责任,甄福生,0,5,6,4,6,4
12010046,天津安百会计师事务所（普通合伙）,天津市河北区王串场开城里36门206室,吴鹏,15320010001,12010046,天津财政局/厅,津财会（2017）200号,2017-12-21,吴鹏,0.0,普通合伙,吴鹏,0,2,2,0,2,0
12010045,天津睿禾会计师事务所（普通合伙）,天津空港经济区西四道168号融和广场6-2-703C区,钱荷云,24890777,12010045,天津财政局/厅,津财会（2017）201号,2017-12-21,周睿,100.0,普通合伙,周睿,0,0,2,0,2,0
12010044,天津津永会计师事务所（普通合伙）,天津市和平区大沽北路65号金融街中心1408室,栾玲,13820734036,12010044,天津财政局/厅,津财会（2017）174号,2017-11-22,栾玲,0.0,普通合伙,栾玲,0,0,4,0,4,0
12010043,天津利众利虹会计师事务所（普通合伙）,天津市和平区解放北路188号信达广场1701-1702,储军,13702080052,12010043,天津财政局/厅,津财会（2017）76号,2017-05-26,魏群,110.0,普通合伙,魏群,0,2,5,8,5,8
12010042,天津健信会计师事务所（普通合伙）,天津华苑产业区华天道6号海泰大厦B座603-1室,王健,23869905,12010042,天津财政局/厅,津财会（2017）14号,2017-03-03,王健,30.0,普通合伙,王健,0,2,6,0,6,0
12010041,天津九象会计师事务所（普通合伙）,天津市河西区下瓦房恒华公寓A2504,孟繁雯,83832383,12010041,天津财政局/厅,津财会（2016）89号,2016-09-09,卢惠芬,20.0,普通合伙,卢惠芬,0,2,3,3,3,3
12010040,天津致信会计师事务所（普通合伙）,天津市南开区卫津南路与奥体道交口招商钻石山星城35-1-917,侯森林,022-58511655,12010040,天津财政局/厅,津财会（2016）49,2016-05-31,侯森林,200.0,普通合伙,侯森林,0,2,9,20,9,20
